listed_price,mrp,page_number,published_date,ratings_count,title
0,,8,,1,The Equity Compensation Handbook: Achieving Financial Independence Through Smart Planning
259,?399,8,,"30,829",The Book Thief: TikTok made me buy it! The life-affirming international bestseller
125,?150,8,,"2,037","A4 Drawing Books | 34 White Blank Unruled Pages | Approx 29.5 x 21 cm Size | Soft Cover | Plain Sketch Pad for Kids, Students & Artists | Drawing Copy for Sketching, Colouring & Painting | Pack of 3"
239,?399,8,,2,How to Read a Book By Mortime Adler 2024
,,8,,,
,,8,,,
,,8,,,
,,9,,,
167,?275,9,,25,"Energize Your Mind (Hindi)/Man Banayen Oorjavan/?? ????? ????????: Sikhen Apne Vicharon, Samvedanaon Aur Bhawnaon Ko Sadhne Ki Kala/????? ???? ???????, ????????? ?? ??????? ?? ????? ?? ???"
259,?399,9,,"30,829",The Book Thief: TikTok made me buy it! The life-affirming international bestseller
125,?150,9,,"2,037","A4 Drawing Books | 34 White Blank Unruled Pages | Approx 29.5 x 21 cm Size | Soft Cover | Plain Sketch Pad for Kids, Students & Artists | Drawing Copy for Sketching, Colouring & Painting | Pack of 3"
,,9,,,
239,?399,9,,2,How to Read a Book By Mortime Adler 2024
339,,9,,"1,876","Brustro Artists Wiro Bound Sketch Book | Spiral | A5 Size | 116 Pages, 160 GSM | Ideal for Students and Adults, School, Office, Drawing, Sketching, Mandala, Shading Art | Medium Surface, Natural Grain"
130,,9,,61,"Anupam Sketch-O Sketchbook A5 | 50 Sheet 140GSM | Durable Acid Free Drawing Paper |Top Spiral-Bound Sketchpad for Artists Kids & Professionals for Marker Colored Pencil Charcoal (50 Sheets, Set of 1)"
300,?499,9,,,SEBI Grade A Officer Paper 2 Practice Book with 1500+ Questions by Anuj Jindal
441,?695,9,,"1,279",Story books : 365 Bedtime Stories (Illustrated stories for Children) (365 Series)
100,,9,,2,MTG International Hindi Olympiad (IHO) Workbook for Class 5 - Quick Recap & MCQs - SOF IHO Olympiad Preparation Books For 2024-2025 Exam
,,9,,,
189,?299,9,,330,"Rays Of Ink Motivational Quote Coloring Book for Adults | Ideal For Stress Relieving, Relaxing & Meditation | 120 GSM Thick Paper (ROI - 001)"
238,?300,9,,10,"MTG NSO-IMO-IEO (Science, Mathematics & English) Olympiad Workbook Combo Class-7 (Set of 3 Books) | MCQs, Previous Years Solved Paper & Achievers Section - SOF Olympiad Preparation Books For 2024-25 Exam"
234,?350,9,,11,Move Better
199,?350,9,,600,Trading Chart Pattern Book In Hindi | Includes Candlestick & Breakout Patterns | Indicators & Risk Management |
999,"?1,200",9,,375,"Skillmatics Peek-A-Boo Underwater Animal Book - Soft Cloth Book For Baby, Crinkle Pages For Sensory Play, Toddler Toys, Gifts For Ages 6 Months And Up - Multicolor"
0,,9,,26,The Duchess Project: A Historical Regency Romance Novel (The Wild Brides Book 1)
102,?800,9,,60,"LEADING THROUGH INFLATION, RECESSION AND STAGFLATION"
,,9,,,
,,9,,,
,,9,,,
,,10,,,
0,,10,,26,The Duchess Project: A Historical Regency Romance Novel (The Wild Brides Book 1)
999,"?1,200",10,,375,"Skillmatics Peek-A-Boo Underwater Animal Book - Soft Cloth Book For Baby, Crinkle Pages For Sensory Play, Toddler Toys, Gifts For Ages 6 Months And Up - Multicolor"
"1,424","?1,499",10,,87,"Skillmatics Quiet Book - Sensory Activity Book With 11 Interactive Daily Activities, Gifts For Kids Ages 18 Months To 4 Years,Multicolor"
,,10,,,
99,?129,10,,296,Stay Magical Unicorn Copy Coloring Book: Fun Activity Books For Children
100,,10,,5,MTG International Hindi Olympiad (IHO) Workbook for Class 3 - Quick Recap & MCQs - SOF IHO Olympiad Preparation Books For 2024-2025 Exam
408,?699,10,,7,Interact In English Literature Reader + Main Course + Workbook For Class 9th (CBSE) Set Of 3 Books
102,?800,10,,60,"LEADING THROUGH INFLATION, RECESSION AND STAGFLATION"
119,?149,10,,551,"201 Amazing Activity Book - Fun Activities and Puzzles For Children: Spot The Difference, Logical Reasoning, Patterns & Tracing"
