book_name,details_page,five_star_rating,four_star_rating,one_star_rating,page_number,three_star_rating,two_star_rating
"Quantitative Aptitude for CAT | 11th Edition (Latest) | Quant | CAT Preparation Exam Book 2024 | Previous Years Solved Papers (PYQ) | McGraw Hill edge Access: Mock Tests, Expert Sessions & Strategies",https://www.amazon.in/Quantitative-Aptitude-Latest-Preparation-Previous/dp/9355327021,45%,27%,,5,,27%
Picture Books Collection for Early Learning (Set of 12),https://www.amazon.in/Picture-Books-Collection-Early-Learning/dp/B01M0QGF0P,57%,24%,4%,5,11%,4%
Coloring Books Box Set: Pack of 12 Copy Color Books For Children,https://www.amazon.in/Colouring-Books-Kids-Colour-Children/dp/9388369785,64%,23%,2%,5,8%,2%
MTG International General Knowledge Olympiad (IGKO) Workbook for Class 5 - MCQs & Achievers Section - SOF IGKO Olympiad Preparation Books For 2024-2025 Exam,https://www.amazon.in/International-General-Knowledge-Olympiad-Workbook/dp/9360230901,42%,58%,,5,,
The Decision Book (New Edition): Fifty models for strategic thinking (New Edition),https://www.amazon.in/Decision-Book-models-strategic-thinking/dp/1800815204,63%,20%,2%,5,12%,4%
The Kid Who Came From Space,https://www.amazon.in/Kid-Who-Came-Space/dp/0008333785,65%,24%,3%,5,6%,2%
"Verbal Ability & Reading Comprehension for CAT | 11th Edition | VARC | CAT 2024 Exam | McGraw Hill edge Access: Mock Tests, Previous Year Solved (2017-2023) Papers, Expert Sessions & Exam Strategies",https://www.amazon.in/Verbal-Ability-Reading-Comprehension-McGraw/dp/9355327153,53%,30%,,5,18%,
BlackBook of English Vocabulary May 2024 by Nikhil Gupta,https://www.amazon.in/BlackBook-English-Vocabulary-Nikhil-Gupta/dp/819564578X,65%,20%,10%,5,3%,2%
Malhar And Poorvi Textbook Of English For (Grade 6) Class VI Latest Edition as per NCERT/CBSE,https://www.amazon.in/Malhar-Poorvi-Textbook-English-Latest/dp/B0D9FJP65R,,,,5,,
1001 Jumbo Brain Booster Activities for 5 to 8 Years Old Kids|Enhance the Child Mind with Cognitive Excellence with Interactive Activity Book,https://www.amazon.in/Jumbo-Brain-Booster-Activities-Years/dp/813195823X,70%,22%,2%,5,4%,2%
"Story Books for Kids - World Classic (Abridged) (Set of 10 Books) (Illustrated) - Moral Stories - Bedtime Children Story Book - Read Aloud to Infants, Toddlers - Alice in Wonderland, …, Heidi, Jungle Book, Robinson Crusoe",https://www.amazon.in/World-Classic-Abridged-Set-Books/dp/9391924824,65%,22%,3%,6,9%,1%
Oswaal Formulae & Tricks Quantitative Ability Book For CAT | XAT | MAT | Entrance & Government Job (MBA Exam) by Shweta Arora Paperback – 8 June 2024,https://www.amazon.in/Formulae-Quantitative-Entrance-Government-Paperback/dp/9359585491,78%,9%,7%,5,6%,1%
"MTG NSO-IMO-IEO (Science, Mathematics & English) Olympiad Workbook Combo Class-5 (Set of 3 Books) | MCQs, Previous Years Solved Paper & Achievers Section - SOF Olympiad Preparation Books For 2024-25 Exam",https://www.amazon.in/NSO-IMO-IEO-Mathematics-Olympiad-Workbook-Achievers/dp/B0CZP5XCBZ,74%,16%,10%,6,,
Mandala Art: Colouring books for Adults with tear out sheets,https://www.amazon.in/Mandala-Art-Colouring-Adults-Sheets/dp/9386538601,69%,21%,2%,6,7%,2%
"MALHAR CLASS 6 HINDI 2024 EDITION 671 ??????, ????? 6, (?????)",https://www.amazon.in/MALHAR-CLASS-HINDI-%E0%A4%AE%E0%A4%B2%E0%A5%8D%E0%A4%B9%E0%A4%BE%E0%A4%B0-%E0%A4%95%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%BE/dp/9352929462,,,,6,,
The Book Tree Baby Box Gift Set of Small 6 Board Book for Children Age 0 - 2 Years- 12 Pages Board Book,https://www.amazon.in/Book-Tree-Small-Board-Children/dp/B09P78X8W2,60%,22%,5%,6,9%,4%
Master Sahab CBSE Class 10 Sanskrit (Shemushi) Question Bank for 2025 Board Exams by Shivdas (Chapterwise Solved Questions),https://www.amazon.in/Sanskrit-Shemushi-Question-Chapterwise-Questions/dp/9361826042,100%,,,6,,
Play Nation Premium My First Learning Set Of 10 Premium Library Board Books For 12+ Month Old Baby|Early Learning Pocket-Size Board Book For Toddlers| Educational&Activity Books |220 Pages|English,https://www.amazon.in/Learning-Pocket-Size-Toddlers-Educational-Activity/dp/8197190267,31%,31%,19%,6,19%,
You Can by George Matthew Adams – Tamil Translation | Paperback | Overcome Self-Doubt/Personal and Professional | Self-Help Guide | Motivational Book for Practical Advice and Strategies,https://www.amazon.in/You-Can-Tamil-George-Adams/dp/9358560835,65%,21%,8%,6,6%,
"MTG NSO-IMO-IEO (Science, Mathematics & English) Olympiad Workbook Combo Class-2 (Set of 3 Books) | MCQs, Previous Years Solved Paper & Achievers Section - SOF Olympiad Preparation Books For 2024-25 Exam",https://www.amazon.in/NSO-IMO-IEO-Mathematics-Olympiad-Workbook-Achievers/dp/B0CZP32LQ1,64%,31%,,6,5%,
"Cursive Writing Books (Set of 5 Books) (Handwriting Practice Books) - Small Letters, Capital Letters, Joining Letters, Sentences, Words for Age 3-7 - Writing Books for Children - Early Learning",https://www.amazon.in/Cursive-Writing-Books-Set/dp/9388304128,62%,26%,3%,7,8%,2%
"Current Affairs Book From ICON INIDA R K Sir, January 2024 - June 2024, Multiple Choice Questions With Its Explanation in Telugu.",https://www.amazon.in/Current-Affairs-Book-INIDA-January/dp/B0D9FSPF4L,,,,7,,
"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write And Practice Capital Letters, Small Letters, Patterns and Numbers 1 to 10)",https://www.amazon.in/Writing-Fun-Set-Books-Practice/dp/9387779777,58%,25%,3%,7,10%,3%
?????? Ikigai (Hindi) + ????? ??? Ichiego Ichie (Hindi) - Set of 2 Books in Hindi,https://www.amazon.in/%E0%A4%87%E0%A4%95%E0%A4%BF%E0%A4%97%E0%A4%BE%E0%A4%88-Ikigai-Hindi-%E0%A4%87%E0%A4%9A%E0%A4%BF%E0%A4%97%E0%A5%8B-Ichiego/dp/B08PSNFP89,67%,21%,2%,7,8%,2%
